state,district,url,2016_republican_candidate,2016_republican_pct,2016_republican_votes,2014_republican_candidate,2014_republican_pct,2014_republican_votes,2014_democratic_candidate,2014_democratic_pct,2014_democratic_votes,2012_republican_candidate,2012_republican_pct,2012_republican_votes,2024_republican_candidate,2024_republican_pct,2024_republican_votes,2024_democratic_candidate,2024_democratic_pct,2024_democratic_votes,2022_republican_candidate,2022_republican_pct,2022_republican_votes,2022_libertarian_candidate,2022_libertarian_pct,2022_libertarian_votes,2020_republican_candidate,2020_republican_pct,2020_republican_votes,2020_democratic_candidate,2020_democratic_pct,2020_democratic_votes,2018_republican_candidate,2018_republican_pct,2018_republican_votes,2018_democratic_candidate,2018_democratic_pct,2018_democratic_votes,2016_democratic_candidate,2016_democratic_pct,2016_democratic_votes,2012_democratic_candidate,2012_democratic_pct,2012_democratic_votes,2022_democratic_candidate,2022_democratic_pct,2022_democratic_votes,2020_libertarian_candidate,2020_libertarian_pct,2020_libertarian_votes,2022_independent_candidate,2022_independent_pct,2022_independent_votes,2014_independent_candidate,2014_independent_pct,2014_independent_votes,2020_independent_candidate,2020_independent_pct,2020_independent_votes,2016_libertarian_candidate,2016_libertarian_pct,2016_libertarian_votes,2016_independent_candidate,2016_independent_pct,2016_independent_votes,2014_libertarian_candidate,2014_libertarian_pct,2014_libertarian_votes,2012_libertarian_candidate,2012_libertarian_pct,2012_libertarian_votes,2016_green_candidate,2016_green_pct,2016_green_votes,2024_independent_candidate,2024_independent_pct,2024_independent_votes,2024_green_candidate,2024_green_pct,2024_green_votes,2012_independent_candidate,2012_independent_pct,2012_independent_votes,2018_green_candidate,2018_green_pct,2018_green_votes,2012_green_candidate,2012_green_pct,2012_green_votes,2024_libertarian_candidate,2024_libertarian_pct,2024_libertarian_votes,2018_libertarian_candidate,2018_libertarian_pct,2018_libertarian_votes,2022_green_candidate,2022_green_pct,2022_green_votes,2018_independent_candidate,2018_independent_pct,2018_independent_votes,2014_green_candidate,2014_green_pct,2014_green_votes,2020_green_candidate,2020_green_pct,2020_green_votes,2012_conservative_candidate,2012_conservative_pct,2012_conservative_votes,2021_democratic_candidate,2021_democratic_pct,2021_democratic_votes,2024_conservative_candidate,2024_conservative_pct,2024_conservative_votes,2016_conservative_candidate,2016_conservative_pct,2016_conservative_votes,2021_republican_candidate,2021_republican_pct,2021_republican_votes,2021_independent_candidate,2021_independent_pct,2021_independent_votes,2021_libertarian_candidate,2021_libertarian_pct,2021_libertarian_votes,2014_conservative_candidate,2014_conservative_pct,2014_conservative_votes,2020_conservative_candidate,2020_conservative_pct,2020_conservative_votes,2022_conservative_candidate,2022_conservative_pct,2022_conservative_votes,2018_conservative_candidate,2018_conservative_pct,2018_conservative_votes,2019_republican_candidate,2019_republican_pct,2019_republican_votes,2019_democratic_candidate,2019_democratic_pct,2019_democratic_votes,2019_libertarian_candidate,2019_libertarian_pct,2019_libertarian_votes,2019_green_candidate,2019_green_pct,2019_green_votes,2023_democratic_candidate,2023_democratic_pct,2023_democratic_votes,2023_republican_candidate,2023_republican_pct,2023_republican_votes,2023_libertarian_candidate,2023_libertarian_pct,2023_libertarian_votes,2023_independent_candidate,2023_independent_pct,2023_independent_votes
South Carolina,6,https://ballotpedia.org/South_Carolina's_6th_Congressional_District,Laura Sterling,27.6%,"70,099",Anthony Culler,25.5%,"44,311",James ClyburnIncumbent,72.5%,"125,747",,,,Duke Buckner(R),36.7,"112,360",James Clyburn(D),59.5,"182,056",Duke Buckner(R),37.9,"79,879",,,,John McCollum(R),30.8,"89,258",James Clyburn(D),68.2,"197,477",Gerhard Gressmann(R),28.2,"58,282",James Clyburn(D),70.1,"144,765",James ClyburnIncumbent,70.1%,"177,947",James ClyburnIncumbent,93.6%,"218,717",James Clyburn(D),62.0,"130,923",,,,,,,,,,,,,Rick Piotrowski,1.2%,"3,131",,,,Kevin Umbaugh,1.8%,"3,176",,,,Prince Charles Mallory,1%,"2,499",,,,,,,,,,Bryan Pugh(G),1.6,"3,214",Nammu Y Muhammad,5.5%,"12,920",Michael Simpson(L),1.7,"5,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,7,https://ballotpedia.org/South_Carolina's_7th_Congressional_District,Tom RiceIncumbent,61%,"176,468",Tom RiceIncumbent,60%,"102,833",Gloria Bromell Tinubu,40%,"68,576",Tom Rice,55.5%,"153,068",Russell Fry(R),64.9,"240,326",Mal Hyman(D),35.0,"129,522",Russell Fry(R),64.8,"164,440",,,,Tom Rice(R),61.8,"224,993",Melissa Watson(D),38.1,"138,863",Tom Rice(R),59.6,"142,681",Robert Williams(D),40.3,"96,564",Mal Hyman,38.9%,"112,744",Gloria Bromell Tinubu,44.4%,"122,389",Daryl Scott(D),35.1,"89,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,At-Large,https://ballotpedia.org/South_Dakota's_At-Large_Congressional_District,Kristi NoemIncumbent,64.1%,"237,163",Kristi NoemIncumbent,66.5%,"183,834",Corinna Robinson,33.5%,"92,485",Kristi NoemIncumbent,57.4%,"207,640",Dusty Johnson(R),72.0,"303,630",Sheryl Johnson(D),28.0,"117,818",Dusty Johnson(R),77.4,"253,821",Collin Duprel(L),22.6,"74,020",Dusty Johnson(R),81.0,"321,984",,,,Dusty Johnson(R),60.3,"202,695",Timothy Bjorkman(D),36.0,"121,033",Paula Hawks,35.9%,"132,810",Matt Varilek,42.6%,"153,789",,,,Randy Luallin(L),19.0,"75,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Hendrickson(L),1.5,"4,914",,,,Ron Wieczorek(Independent),2.2,"7,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,1,https://ballotpedia.org/Tennessee's_1st_Congressional_District,Phil RoeIncumbent,78.4%,"198,293",Phil RoeIncumbent,82.8%,"115,495",,,,Phil RoeIncumbent,76%,"182,252",Diana Harshbarger(R),78.1,"257,825",Kevin Jenkins(D),19.4,"64,021",Diana Harshbarger(R),78.3,"147,241",,,,Diana Harshbarger(R),74.7,"228,181",Blair Walsingham(D),22.5,"68,617",Phil Roe(R),77.1,"172,835",Marty Olsen(D),21.0,"47,138",Alan Bohms,15.4%,"39,024",Alan Woodruff,19.9%,"47,663",Cameron Parsons(D),19.7,"37,049",,,,Matt Makrom(Independent),0.7,"1,247",Robert Franklin,7.1%,"9,905",Josh Berger(Independent) (Write-in),0.0,4,,,,Robert Franklin,6.2%,"15,702",Michael Salyer,3%,"4,145",,,,,,,Levi Brake(Independent),0.8,"2,639",,,,Michael Salyer,0.9%,"2,048",,,,Robert N Smith,1.2%,"2,872",,,,,,,,,,Michael Salyer(Independent),1.9,"4,309",Robert Smith,7.1%,"9,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,2,https://ballotpedia.org/Tennessee's_2nd_Congressional_District,"John Duncan, Jr.Incumbent",75.6%,"212,455","John J. Duncan, Jr.Incumbent",72.5%,"120,853",Bob Scott,22.6%,"37,599","John J. Duncan, Jr.Incumbent",74.4%,"196,894",Tim Burchett(R),69.3,"250,782",Jane George(D),30.7,"111,316",Tim Burchett(R),67.9,"141,089",,,,Tim Burchett(R),67.6,"238,907",Renee Hoyos(D),31.1,"109,684",Tim Burchett(R),65.9,"172,856",Renee Hoyos(D),33.1,"86,668",Stuart Starr,24.4%,"68,401",Troy Goodale,20.6%,"54,522",Mark Harmon(D),32.1,"66,673",,,,,,,Casey Gouge,2.5%,"4,222",David Dockery(Independent) (Write-in),0.0,7,,,,,,,,,,Greg Samples,1.7%,"4,382",,,,,,,,,,Brandon Stewart,1.1%,"2,974",,,,Norris Dryer,2.2%,"5,733",,,,,,,,,,Keith LaTorre(Independent),0.1,349,Norris Dryer,2.4%,"4,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,3,https://ballotpedia.org/Tennessee's_3rd_Congressional_District,Charles FleischmannIncumbent,66.4%,"176,613",Charles J. FleischmannIncumbent,62.4%,"97,319",Mary Headrick,34.6%,"53,963",Charles J. FleischmannIncumbent,61.5%,"157,830",Charles J. Fleischmann(R),67.5,"236,519",Jack Allen(D),29.4,"102,841",Charles J. Fleischmann(R),68.4,"136,639",,,,Charles J. Fleischmann(R),67.3,"215,571",Meg Gorman(D),30.5,"97,687",Charles J. Fleischmann(R),63.7,"156,512",Danielle Mitchell(D),34.5,"84,731",Melody Shekari,28.8%,"76,727",Mary Headrick,35.5%,"91,094",Meg Gorman(D),30.2,"60,334",,,,Thomas Rumba(Independent),0.6,"1,121",Cassandra Mitchell,3.1%,"4,768",Scott James(Independent) (Write-in),0.0,8,,,,Topher Kersting,0.9%,"2,493",,,,,,,,,,Jean Howard-Hill(Independent),1.5,"5,120",,,,Matthew Deniston,3.1%,"7,905",,,,,,,,,,,,,,,,Rick Tyler(Independent),1.8,"4,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,4,https://ballotpedia.org/Tennessee's_4th_Congressional_District,Scott DesJarlaisIncumbent,65%,"165,796",Scott DesJarlaisIncumbent,58.3%,"84,781",Lenda Sherrell,35.3%,"51,338",Scott DesJarlaisIncumbent,55.8%,"128,568",Scott DesJarlais(R),70.0,"219,133",Victoria Broderick(D),26.8,"83,832",Scott DesJarlais(R),70.6,"122,401",,,,Scott DesJarlais(R),66.7,"223,802",Christopher Hale(D),33.3,"111,908",Scott DesJarlais(R),63.4,"147,323",Mariah Phillips(D),33.6,"78,065",Steven Reynolds,35%,"89,141",Eric Stewart,44.2%,"102,022",Wayne Steele(D),25.7,"44,648",,,,Joseph Magyer(Independent),0.3,455,Robert Doggart,6.4%,"9,238",,,,,,,,,,,,,,,,,,,Earnest Ensley(Independent),1.5,"4,689",,,,,,,,,,,,,,,,,,,,,,Michael Shupe(Independent),3.0,"7,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,5,https://ballotpedia.org/Tennessee's_5th_Congressional_District,Stacy Ries Snyder,37.4%,"102,433",Bob Ries,35.8%,"54,939",Jim CooperIncumbent,62.3%,"95,635",Brad Staats,32.8%,"86,240",Andy Ogles(R),56.9,"205,075",Maryam Abolfazli(D),39.5,"142,387",Andy Ogles(R),55.8,"123,558",,,,,,,Jim Cooper(D),100.0,"252,155",Jody Ball(R),32.2,"84,317",Jim Cooper(D),67.8,"177,923",Jim CooperIncumbent,62.6%,"171,111",Jim CooperIncumbent,65.2%,"171,621",Heidi Campbell(D),42.3,"93,648",,,,Rick Shannon(Independent),0.4,847,Paul Deakin,2%,"3,032",Trevor Killian Murphy(Independent) (Write-in),0.0,1,,,,,,,,,,,,,,,,Yomi Faparusi(Independent),0.7,"2,580",,,,,,,,,,John Miglietta,2%,"5,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,6,https://ballotpedia.org/Tennessee's_6th_Congressional_District,Diane BlackIncumbent,71.1%,"202,234",Diane BlackIncumbent,71.1%,"115,190",Amos Powers,23%,"37,215",Diane BlackIncumbent,76.4%,"184,383",John Rose(R),68.0,"225,543",Lore Bergman(D),32.0,"106,144",John Rose(R),66.3,"129,388",,,,John Rose(R),73.7,"257,572",Christopher Finley(D),24.0,"83,852",John Rose(R),69.5,"172,810",Dawn Barlow(D),28.3,"70,370",David Kent,21.8%,"61,995",,,,Randal Cooper(D),33.7,"65,675",,,,,,,Mike Winton,5.9%,"9,630",Christopher Monday(Independent),2.3,"8,154",,,,David Ross,7.1%,"20,261",,,,,,,,,,,,,,,,Scott Beasley,14.4%,"34,766",,,,Pat Riley,9%,"21,633",,,,,,,,,,Lloyd Dunn(Independent),0.9,"2,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,8,https://ballotpedia.org/Tennessee's_8th_Congressional_District,David Kustoff,68.8%,"194,386",Stephen Lee FincherIncumbent,70.8%,"122,205",Wes Bradley,24.6%,"42,403",Stephen Lee FincherIncumbent,68.3%,"190,923",David Kustoff(R),72.3,"240,411",Sarah Freeman(D),25.6,"85,043",David Kustoff(R),74.0,"155,602",,,,David Kustoff(R),68.5,"227,216",Erika Stotts Pearson(D),29.5,"97,890",David Kustoff(R),67.7,"168,030",Erika Stotts Pearson(D),30.1,"74,755",Rickey Hobson,25.1%,"70,925",Timothy Dixon,28.4%,"79,490",Lynnette Williams(D),24.3,"51,102",,,,Ronnie Henley(Independent),0.5,"1,070",James Hart,2%,"3,446",Jon Dillard(Independent),0.9,"2,984",,,,Karen Free Spirit Talley-Lane,0.7%,"1,981",,,,,,,,,,James Hart(Independent),2.1,"6,861",,,,Mark Rawles,1%,"2,870",,,,,,,,,,,,,,,,James Hart(Independent),2.2,"5,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,9,https://ballotpedia.org/Tennessee's_9th_Congressional_District,Wayne Alberson,18.9%,"41,123",Charlotte Bergmann,23.3%,"27,163",Steve CohenIncumbent,75%,"87,308",George Flinn Jr.,23.8%,"59,742",Charlotte Bergmann(R),25.7,"57,411",Steve Cohen(D),71.3,"159,522",Charlotte Bergmann(R),26.2,"35,123",,,,Charlotte Bergmann(R),20.1,"48,818",Steve Cohen(D),77.4,"187,905",Charlotte Bergmann(R),19.2,"34,901",Steve Cohen(D),80.0,"145,139",Steve CohenIncumbent,78.7%,"171,631",Steve CohenIncumbent,75.1%,"188,422",Steve Cohen(D),70.0,"93,800",,,,Paul Cook(Independent),0.4,485,Herbert Bass,0.4%,483,Charles Shappley(Independent) (Write-in),0.0,3,,,,Paul Cook,2.4%,"5,203",,,,,,,,,,Dennis Clark(Independent),1.4,"3,062",,,,Brian Saulsberry,0.6%,"1,448",,,,,,,,,,,,,,,,Leo AwGoWhat(Independent),0.8,"1,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1,https://ballotpedia.org/Texas'_1st_Congressional_District,Louie GohmertIncumbent,73.9%,"192,434",Louie GohmertIncumbent,77.5%,"115,084",Shirley McKellar,22.5%,"33,476",Louie GohmertIncumbent,71.4%,"178,322",Nathaniel Moran(R),100.0,"258,523",,,,Nathaniel Moran(R),78.1,"183,224",,,,Louis B. Gohmert Jr.(R),72.6,"219,726",Hank Gilbert(D),27.4,"83,016",Louis B. Gohmert Jr.(R),72.3,"168,165",Shirley McKellar(D),26.3,"61,263",Shirley McKellar,24.1%,"62,847",Shirley J. McKellar,26.9%,"67,222",Jrmar Jefferson(D),21.9,"51,438",,,,,,,,,,,,,Phil Gray,1.9%,"5,062",,,,,,,Clark Patterson,1.6%,"4,114",,,,,,,,,,,,,,,,,,,,,,Jeff Callaway(L),1.4,"3,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,10,https://ballotpedia.org/Texas'_10th_Congressional_District,Michael McCaulIncumbent,57.3%,"179,221",Michael McCaulIncumbent,62.2%,"109,726",Tawana Walter-Cadien,34.1%,"60,243",Michael McCaulIncumbent,60.5%,"159,783",Michael McCaul(R),63.6,"221,229",Theresa Boisseau(D),34.0,"118,280",Michael McCaul(R),63.3,"159,469",Bill Kelsey(L),2.4,"6,064",Michael McCaul(R),52.5,"217,216",Mike Siegel(D),45.3,"187,686",Michael McCaul(R),51.1,"157,166",Mike Siegel(D),46.8,"144,034",Tawana Cadien,38.4%,"120,170",Tawana W. Cadien,36.3%,"95,710",Linda Nuno(D),34.3,"86,404",Roy Eriksen(L),2.2,"8,992",,,,,,,,,,Bill Kelsey,4.2%,"13,209",,,,Bill Kelsey,3.7%,"6,491",Richard Priest,3.2%,"8,526",,,,,,,,,,,,,,,,,,,Jeff Miller(L),2.4,"8,309",Mike Ryan(L),2.2,"6,627",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,11,https://ballotpedia.org/Texas'_11th_Congressional_District,Mike ConawayIncumbent,89.5%,"201,871",Mike ConawayIncumbent,90.3%,"107,939",,,,Mike ConawayIncumbent,78.6%,"177,742",August Pfluger(R),100.0,"211,975",,,,August Pfluger(R),100.0,"151,066",,,,August Pfluger(R),79.7,"232,568",Jon Mark Hogg(D),18.3,"53,394",Mike Conaway(R),80.1,"176,603",Jennie Lou Leeder(D),18.4,"40,631",,,,Jim Riley,18.6%,"41,970",,,,Wacey Alpha Cody(L),2.0,"5,811",,,,,,,,,,Nicholas Landholt,10.5%,"23,677",,,,Ryan Lange,9.7%,"11,635",Scott J. Ballard,2.8%,"6,311",,,,,,,,,,,,,,,,,,,,,,Rhett Rosenquest Smith(L),1.4,"3,143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,12,https://ballotpedia.org/Texas'_12th_Congressional_District,Kay GrangerIncumbent,69.4%,"196,482",Kay GrangerIncumbent,71.3%,"113,186",Mark Greene,26.3%,"41,757",Kay GrangerIncumbent,70.9%,"175,649",Craig Goldman(R),63.5,"215,564",Trey Hunt(D),36.5,"124,154",Kay Granger(R),64.3,"152,953",,,,Kay Granger(R),63.7,"233,853",Lisa Welch(D),33.0,"121,250",Kay Granger(R),64.3,"172,557",Vanessa Adia(D),33.9,"90,994",Bill Bradshaw,26.9%,"76,029",Dave Robinson,26.7%,"66,080",Trey Hunt(D),35.7,"85,026",Trey Holcomb(L),3.2,"11,918",,,,,,,,,,Ed Colliver,3.7%,"10,604",,,,Ed Colliver,2.4%,"3,787",Matthew Solodow,2.4%,"5,983",,,,,,,,,,,,,,,,,,,,,,Jacob Leddy(L),1.8,"4,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,13,https://ballotpedia.org/Texas'_13th_Congressional_District,Mac ThornberryIncumbent,90%,"199,050",Mac ThornberryIncumbent,84.3%,"110,842",Mike Minter,12.8%,"16,822",Mac ThornberryIncumbent,91%,"187,775",Ronny L. Jackson(R),100.0,"240,622",,,,Ronny L. Jackson(R),75.4,"161,767",,,,Ronny L. Jackson(R),79.4,"217,124",Gus Trujillo(D),18.5,"50,477",Mac Thornberry(R),81.5,"169,027",Greg Sagan(D),16.9,"35,083",,,,,,,Kathleen Brown(D),24.6,"52,910",Jack Westbrook(L),2.2,"5,907",,,,,,,,,,Calvin DeWeese,6.7%,"14,725",,,,Emily Pivoda,2.2%,"2,863",John Robert Deek,6.2%,"12,701",Rusty Tomlinson,3.4%,"7,467",,,,,,,,,,,,,Keith F. Houston,2.9%,"5,912",,,,Calvin DeWeese(L),1.5,"3,175",,,,,,,Don Cook,0.7%,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,14,https://ballotpedia.org/Texas'_14th_Congressional_District,Randy WeberIncumbent,61.9%,"160,631",Randy WeberIncumbent,61.9%,"90,116",Donald Brown,36.1%,"52,545",Randy Weber,53.5%,"131,460",Randy Weber(R),68.7,"210,320",Rhonda Hart(D),31.3,"95,875",Randy Weber(R),70.2,"149,543",,,,Randy Weber(R),61.6,"190,541",Adrienne Bell(D),38.4,"118,574",Randy Weber(R),59.2,"138,942",Adrienne Bell(D),39.3,"92,212",Michael Cole,38.1%,"99,054",Nick Lampson,44.6%,"109,697",Mikal Williams(D),29.8,"63,606",,,,,,,,,,,,,,,,,,,John Wieder,2.1%,"3,037",Zach Grady,1.5%,"3,619",,,,,,,,,,,,,,,,Rhett Rosenquest Smith,0.4%,"1,063",,,,Don Conley III(L),1.4,"3,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,15,https://ballotpedia.org/Texas'_15th_Congressional_District,Tim Westley,37.7%,"66,877",Eddie Zamora,43.3%,"39,016",Ruben HinojosaIncumbent,54%,"48,708",Dale A. Brueggemann,36.9%,"54,056",Monica De La Cruz(R),57.1,"127,804",Michelle Vallejo(D),42.9,"95,965",Monica De La Cruz(R),53.3,"80,978",Ross Lynn Leone(L),1.9,"2,814",Monica De La Cruz(R),47.6,"109,017",Vicente Gonzalez Jr.(D),50.5,"115,605",Tim Westley(R),38.8,"63,862",Vicente Gonzalez Jr.(D),59.7,"98,333",Vicente Gonzalez,57.3%,"101,712",Ruben HinojosaIncumbent,60.9%,"89,296",Michelle Vallejo(D),44.8,"68,097",Ross Lynn Leone(L),1.9,"4,295",,,,,,,,,,Ross Lynn Leone,1.9%,"3,442",,,,Johnny Partain,2.7%,"2,460",Ron Finch,2.3%,"3,309",Vanessa Tijerina,3.1%,"5,448",,,,,,,,,,,,,,,,,,,Anthony Cristo(L),1.6,"2,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,16,https://ballotpedia.org/Texas'_16th_Congressional_District,,,,Corey Roen,29.2%,"21,324",Beto O'RourkeIncumbent,67.5%,"49,338",Barbara Carrasco,32.9%,"51,043",Irene Armendariz-Jackson(R),40.4,"89,281",Veronica Escobar(D),59.5,"131,391",Irene Armendariz-Jackson(R),36.5,"54,986",,,,Irene Armendariz-Jackson(R),35.3,"84,006",Veronica Escobar(D),64.7,"154,108",Rick Seeberger(R),27.0,"49,127",Veronica Escobar(D),68.5,"124,437",Beto O'RourkeIncumbent,85.7%,"150,228",Beto O'Rourke,65.4%,"101,403",Veronica Escobar(D),63.5,"95,510",,,,,,,,,,,,,Jaime Perez,10%,"17,491",,,,Jaime Perez,3.3%,"2,443",Junart Sodoy,1.7%,"2,559",Mary Gourdoux,4.3%,"7,510",Deliris Montanez(Independent) (Write-in),0.1,156,,,,,,,,,,,,,,,,,,,,,,Ben Mendoza(Independent),4.5,"8,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,17,https://ballotpedia.org/Texas'_17th_Congressional_District,Bill FloresIncumbent,60.8%,"149,417",Bill FloresIncumbent,64.6%,"85,807",Nick Haynes,32.4%,"43,049",Bill FloresIncumbent,79.9%,"143,284",Pete Sessions(R),66.3,"193,101",Mark Lorenzen(D),33.7,"97,941",Pete Sessions(R),66.5,"144,408",,,,Pete Sessions(R),55.9,"171,390",Rick Kennedy(D),40.9,"125,565",Bill Flores(R),56.8,"134,841",Rick Kennedy(D),41.3,"98,070",William Matta,35.2%,"86,603",,,,Mary Jo Woods(D),33.5,"72,801",Ted Brown(L),3.2,"9,918",,,,,,,,,,Clark Patterson,4%,"9,708",,,,Shawn Michael Hamilton,3%,"4,009",Ben Easton,20.1%,"35,978",,,,,,,,,,,,,,,,,,,,,,Peter Churchman(L),1.9,"4,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,19,https://ballotpedia.org/Texas'_19th_Congressional_District,Jodey ArringtonIncumbent,86.7%,"176,314",Randy NeugebauerIncumbent,77.1%,"89,326",Neal Marchbanks,18.4%,"21,325",Randy NeugebauerIncumbent,85%,"163,239",Jodey Arrington(R),80.7,"214,950",,,,Jodey Arrington(R),80.3,"152,321",,,,Jodey Arrington(R),74.8,"198,198",Tom Watson(D),22.9,"60,583",Jodey Arrington(R),75.2,"151,946",Miguel Levario(D),24.8,"50,039",,,,,,,,,,Joe Burnes(L),2.4,"6,271",Nathan Lewis(Independent),19.7,"37,360",,,,,,,Troy Bonar,8.5%,"17,376",,,,Richard Peterson,4.4%,"5,120",Richard Peterson,15%,"28,824",Mark Lawson,4.8%,"9,785",Nathan Lewis(Independent),10.3,"27,461",,,,,,,,,,,,,Bernard Johnson(L),9.0,"23,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,2,https://ballotpedia.org/Texas'_2nd_Congressional_District,Ted PoeIncumbent,60.6%,"168,692",Ted PoeIncumbent,67.9%,"101,936",Niko Letsos,29.6%,"44,462",Ted PoeIncumbent,64.8%,"159,664",Daniel Crenshaw(R),65.7,"214,631",Peter Filler(D),34.3,"112,252",Daniel Crenshaw(R),65.9,"151,791",,,,Daniel Crenshaw(R),55.6,"192,828",Sima Ladjevardian(D),42.8,"148,374",Daniel Crenshaw(R),52.8,"139,188",Todd Litton(D),45.6,"119,992",Pat Bryan,36%,"100,231",Jim Dougherty,32.7%,"80,512",Robin Fulford(D),34.1,"78,496",Elliott Scheirman(L),1.6,"5,524",,,,,,,,,,James Veasaw,2.3%,"6,429",,,,James Veasaw,1.5%,"2,316",Kenneth Duncan,1.7%,"4,140",Joshua Darr,1%,"2,884",,,,,,,,,,,,,Mark A. Roberts,0.8%,"2,012",,,,Patrick Gunnels(L),0.9,"2,373",,,,Scott Cubbler(Independent),0.7,"1,839",Mark Roberts,0.9%,"1,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,20,https://ballotpedia.org/Texas'_20th_Congressional_District,,,,,,,Joaquin CastroIncumbent,75.7%,"66,554",David Rosa,33.5%,"62,376",,,,Joaquin Castro(D),100.0,"157,890",Kyle Sinclair(R),31.6,"53,226",,,,Mauro Garza(R),33.1,"89,628",Joaquin Castro(D),64.7,"175,078",,,,Joaquin Castro(D),80.9,"139,038",Joaquin CastroIncumbent,79.7%,"149,640",Joaquin Castro,63.9%,"119,032",Joaquin Castro(D),68.4,"115,352",Jeffrey Blunt(L),2.2,"6,017",Adam Jonasz(Independent) (Write-in),0.0,21,,,,,,,Jeffrey Blunt,15.5%,"29,055",,,,Jeffrey Blunt,24.3%,"21,410",A.E. Potts,1.7%,"3,143",Paul Pipkin,4.8%,"8,974",,,,,,,,,,,,,Antonio Diaz,0.9%,"1,626",,,,Jeffrey Blunt(L),19.1,"32,925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
